Name,Description,ShortName,Status,Email,WebsiteKey,ProfileUrl,Categories,Summary
ASUC South Asian Ad Hoc Committee,"The South Asian Caucus Ad Hoc Committee is committed to uplifting the vibrant and diverse South Asian community at UC Berkeley by addressing the institutional gaps in representation, access, and support. Our mission is to create a more interconnected and empowered South Asian student experience through meaningful cultural programming, tangible resources, and cross-cultural collaboration.",,Active,,saahc,https://callink.berkeley.edu/organization/saahc,ASUC Government Offices,ASUC South Asian Office
*New Callink Feature: Blue Heart Initiative 💙,"Joining Student Organizations using the Blue Heart Initiative The Blue Heart Initiative is a feature on CalLink identifying registered student organizations that are classified as ‘open membership.’ These organizations may require a form to record demonstrated interest, but there is no formal application to be accepted into the organization. A blue heart [💙] placed next to the organization’s name on CalLink indicates they meet this requirement and opted-in to this feature. Look for this blue heart as you explore organizations to join. The Blue Heart Initiative is brought to you by the Associated Students of the University of California (ASUC) and Organization Advising and Student Involvement Services (OASIS). Frequently Asked Questions: 1) Is my RSO eligible to participate? Any Registered Student Organization (RSO) that indicates they 'accept all' interested members during the yearly registration process are eligible. These organizations may require a form to record demonstrated interest, but there should be no formal application to be accepted into the organization. 2) How can my Registered Student Organization (RSO) sign-up and get a blue heart added to our name? Eligible RSOs will have the opportunity to opt-in to this initiative during the yearly RSO registration process. 3) When will the Blue Heart be added to our RSO's Name on CalLink? Blue Hearts will be added to RSO's Names on CalLink on a rolling basis as registration forms are processed. 4) Does it matter if my RSO is a Graduate RSO? No, Graduate and Undergraduate RSOs are eligible to participate in this program. 5) Does my RSO have to participate in this initiative if we are eligible? No, you are not required to participate in this initiative. Your RSO must consent to participating via the registration process. 6) How does my RSO opt-out if we are no longer open membership? Please have an RSO representative (ideally the same person who opted into the BHI) complete the Blue Heart Initiative Opt-Out Form. 7) What's the difference between an 'Application' and an 'Interest Form'? An RSO may use an 'Interest Form' to record contact and other information for internal purposes, but they will not use this information to evaluate whether you can be a member of their RSO or not. An 'Application' is a tool used to screen potential members for interviews and, ultimately, membership.",BHI,Active,,blueheartinitiative,https://callink.berkeley.edu/organization/blueheartinitiative,,BHI is a new feature identifying student organizations that don’t require an application and are classified as ‘open membership.’ A blue heart [💙] next to the group means they meet this requirement and opted-in to the feature. Click here to learn more.
180 Degrees Consulting at Berkeley,"180 Degrees Consulting is the world's largest student consultancy for the social sector, with 200+ branches around the world. At Berkeley, our branch keeps social impact at the forefront of our work, engaging with non-profits, social enterprises, and the corporate social responsibility divisions of for-profit enterprises. We aim to build a more compassionate, equitable world--one project at a time. Check out our website at https://www.180dcberkeley.com",180DC,Active,,180dcberkeley,https://callink.berkeley.edu/organization/180dcberkeley,"ASUC Sponsored 2025-26-Student Activity Groups, Professional Student Organizations, Undergraduate Organizations","180 Degrees Consulting provides consulting for nonprofits and social enterprises. We work with organizations to develop innovative, practical, and sustainable solutions to strategic, operational, and financial challenges they are facing."
1G at Haas (First-Generation and/or Low-Income Club) 💙,"The Mission of the 1G @ Haas is to promote, retain, and empower first generation students across Berkeley Haas’s ecosystem to elevate community and experiences that will power our first generation students to have a sense of belonging. This group 1G Club @ Haas was formerly named Haas General Management & Leadership Club - [3/6/24] [LL]",1G @ Haas,Active,,1gliathaas,https://callink.berkeley.edu/organization/1gliathaas,"Graduate Student Organizations, Haas MBA RSO, Blue Heart Initiative Category","The purpose of the 1G Club @ Haas is to promote inclusivity across all cultures and nationalities that makes up the past, present, and future of first generation students at Haas. We are here to promote pipelines to our future leaders."
2024-2025 RSO Training Demonstration Group 💙,This group is intended to be used to demonstrate tools and modules of the CalLink org management system for registered student organizations who are ASUC-sponsored at UC Berkeley for the 2024-2025 academic year.,,Active,,2022callinkdummygroupfortesting,https://callink.berkeley.edu/organization/2022callinkdummygroupfortesting,Service Student Organizations,test - 2024-2025 RSO Training Demonstration Group.
3D Modeling and Animation at Berkeley 💙,"We are a student organization dedicated to education, research, and creation in fields encompassing, and related to, the production of 3D animation. We provide a group for students who are interested in working in the 3D animation or related industries, researching in relevant fields, or simply for students who are interested in learning about the topic. To facilitate a healthy ecosystem of support, we run a DeCal class called UCBUGG: 3D Modeling & Animation (http://www.ucbugg.com). We also host guest lectures related to the topic of 3D Modeling & Animation, to help students pursue their career and self-learning goals. To join, just hop on our Discord (https://discord.gg/ZUFgDry) and follow us on social media. That's it. No apps, dues, etc.",3DMA@Berkeley,Active,,3d-modeling-and-animation-at-berkeley,https://callink.berkeley.edu/organization/3d-modeling-and-animation-at-berkeley,"ASUC Sponsored 2025-26-Student Activity Groups, Academic Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","We are a student organization dedicated to education, research, and creation in fields encompassing, and related to, the production of 3D animation. We also run a DeCal class called UCBUGG: 3D Modeling and Animation (ucbugg.com)."
AAAA - Furries at Berkeley 💙,"The furry fandom is a subculture interested in anthropomorphic animals. Its origins date back to at least the 1980s in science fiction and comic conventions. Due to the diversity within the fandom, as well as fictional portrayals of the fandom based heavily on stereotypes, a certain amount of stigma and controversy is unfortunately associated with the fandom. The Anthropomorphic Animal Appreciation Association hopes to serve and portray the furry population on campus positively, as well as foster community collaboration between furries at Berkeley with other interest-based or academic groups.Follow Us :3 Bluesky | Twitter | Instagram | TikTok | Mailing List",Furries at Berkeley,Active,,furries-at-berkeley,https://callink.berkeley.edu/organization/furries-at-berkeley,"ASUC Sponsored 2025-26-Student Activity Groups, Recreational Student Organizations, Undergraduate Organizations, ABSA-Allocated Hearst Storage, Blue Heart Initiative Category","Furries at Berkeley, a chapter of the Anthropomorphic Animal Appreciation Association, aims to serve the interests of fans of anthropomorphic animals through education on topics related to and community building centered around the furry fandom."
ABA,"Founded in 1975, Berkeley ABA is a business organization with 5 teams: Business Development, Finance, Marketing, Non-Profit Organization, and Strategy. Our founders set out to provide a bridge between the professional world and the students of the UC Berkeley campus. Over the course of 45+ years of history, ABA has expanded its mission and now represents many diverse majors and cultures: ABA’s mission as a business organization is to develop well-rounded business leaders who put our skills to work and never compromise our humility, integrity, or passion for each other and the work that we do. As such, we provide our members with opportunities to gain hands on professional experience through various industry-focused projects. ABA has become a well-respected organization on the campus, in the business community, and in the business world. With over 500 Alumni, it is the undergraduate business organization on campus with the largest alumni network.",,Active,,aba,https://callink.berkeley.edu/organization/aba,"Professional Student Organizations, Undergraduate Organizations","Founded in 1975, Berkeley ABA is a consulting organization with 5 teams: Business Development, Finance, Marketing, Non-Profit Organization, and Strategy. Visit http://www.berkeley-aba.com/ for more information."
Abba Modern,We are a Christ-centered dance group that aims to spread Christian thought and ideals to the Berkeley community through the art of dance and testimony.,Abba,Active,,abbamodern,https://callink.berkeley.edu/organization/abbamodern,"Performing Arts Student Organizations, Undergraduate Organizations",We are a Christ-centered dance group that aims to spread Christian thought and ideals to the Berkeley community through the art of dance and testimony.
ABC Sketches,"While other groups occasionally make sketch comedy videos, none are fully dedicated to this activity. Furthermore, many of the comedy groups on campus are exclusive and/or require an audition process. ABC Sketches is about providing an opportunity to any and all creative and comedic minds to bring their sketch ideas to fruition. We want to meet frequently, film carefully, and produce our videos to perfection. After producing our videos, we hope to post them online to provide any viewers with a laugh. We also hope to submit our videos to appropriate competitions and festivals.",,Active,,abcsketches,https://callink.berkeley.edu/organization/abcsketches,"Media & Publication Student Organizations, Undergraduate Organizations","ABC Sketches is about providing an opportunity to any and all creative and comedic minds to bring their sketch ideas to fruition. We want to meet frequently, film carefully, and produce our videos to perfection."
Acacia,"Acacia Fraternity was founded in 1904 at University of Michigan, Ann Arbor on May 12th. The California chapter was founded 1905, having the distinction of being one of the oldest operating chapters in the National organization. However, ""an organization is not necessarily good because it is old, but old because it is good."" There are a lot of great fraternities out there, and only you can decide which one is right for you. Here are a few reasons why Acacia Fraternity should be on your short list. Acacia Emphasizes Academic Achievement Academic achievement should be the first and foremost priority of all university students. It is also central to the mission of Acacia Fraternity, whose chapters stress academics above all else. Moreover, the Acacia Fraternity Foundation assists deserving Acacians with cash scholarships — over $250,000 in scholarships and educational grants were awarded by the foundation during the 2007-2008 academic year alone. Acacia Develops Leaders Acacia Fraternity is dedicated to building leaders by providing a wealth of leadership opportunities for our members. From social issues to academic, business to philanthropy, the Acacians of today are the leaders of tomorrow. Click here to view a list of prominent Acacians. Acacians Help Better the Communities in Which We Reside Our motto is ""Human Service,"" and we take it very seriously. As member of Acacia Fraternity you will have ongoing opportunities, through structured community service programs, to make a difference in the lives of those in need. Acacians Value Fitness Members of Acacia are encouraged to participate in intramural sports, a system in which athletes of all caliber find camaraderie and physical challenge. Whatever the sport, and whatever your skill level, as a member of Acacia you will always have a place on the team. Acacians Know How to Have Fun Forget the ""Animal House"" stereotype of reckless partying and irresponsible behavior. Acacia's policy is that each chapter maintains a fun yet responsible social policy that promotes responsible choices and the dignity of every individual as well as zero tolerance for illegal activities.",,Active,,acacia,https://callink.berkeley.edu/organization/acacia,CalGreeks Interfraternity Council (IFC) Fraternities,"""An organization is not necessarily good because it is old, but old because it is good."""
Academic Cultural Enrichment Coaches 💙,"ACE Coaches teaches weekly Saturday classes to 3rd grade to 5th grade students at the San Francisco Chinatown YMCA. We not only provide academic support but also create a space in which our young students can maintain a connection to their Chinese heritage. Our club was founded especially to provide academic support to students residing in SF Chinatown's SROs*, or single room occupancy hotels. Coaches help to prepare and lead lessons that engage our students' creativity and critical thinking in the subjects of English, math, science, and cultural enrichment! We also host many fun socials for team bonding. *SF Chinatown's SROs are often only 8'x10' in size, and many of our students reside in a single unit with their entire families. Many of the inhabitants of San Francisco Chinatown's SROs also live below the federal poverty line. The ACE Coaches program provides critical academic support to these students, who might not otherwise have a dedicated space for studying in their life.",ACE Coaches,Active,,acecoaches,https://callink.berkeley.edu/organization/acecoaches,"ASUC Sponsored 2025-26-Student Initiated Service Groups, Service Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","ACE Coaches aims to provide academic and cultural enrichment to underserved students living in the Single Resident Occupancy in San Francisco Chinatown, and through this process, establish more community involvement in the SF Chinatown community."
ACEing Autism at Berkeley,,,Active,,aceingautismatberkeley,https://callink.berkeley.edu/organization/aceingautismatberkeley,"Service Student Organizations, Undergraduate Organizations","Volunteers helping Bay Area children with Autism Spectrum Disorder thrive through tennis. Our mission is to foster growth, social connections, and fitness for children with autism through tailored tennis programs, addressing a national need."
acts2fellowship 💙,"What is acts2fellowship? Acts 2 is a passage in the Bible describing people devoted to studying the Bible, to prayer, and to one another. “Fellowship” is simply another word for friendship—friendships that develop through discovering life together from God’s perspective with its many challenges. Many of us attend the Acts College Church and welcome all types of people to do life with us. Whether you’re a Christian eager to grow in your faith with like-minded friends or someone who’s curious to learn more about Christianity, we welcome you!",A2F,Active,,acts2fellowship,https://callink.berkeley.edu/organization/acts2fellowship,"ASUC Sponsored 2025-26-Student Activity Groups, Spiritual Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","acts2fellowship (a2f) is a Christian fellowship at Cal. We meet every week to study the Bible, do college together, attend church services, grow in our faith, and build lasting friendships!"
Adventist Christian Fellowship 💙,"WELCOME to Adventist Christian Fellowship! ACF fosters a community of both college level students and young professionals in the Bay Area looking for a spiritual family to be apart of. We welcome people from all walks and different backgrounds into a relationship with Christ and the community. Together, we study the word and try to understand the greater roles we have as modern-day Christians, and how to best practice living the Kingdom of Heaven. ACF is proud of the support system it has created, as well as the open dialogue that it has started between members of our community. We invite you to join us, visit us, talk to us, or simply, come eat with us! Instagram: @acf_berkeleyVisit our page at www.berkeleyacf.com/",ACF,Active,,acf,https://callink.berkeley.edu/organization/acf,"Spiritual Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category",ACF fosters a community of both college level students and young professionals in the Bay Area looking for a spiritual family to be apart of. We welcome people from all walks and different backgrounds into a relationship with Christ and the community.
Aerial Arts at Berkeley (Formerly known as Aerial and Pole Club at Berkeley) 💙,This group [Aerial Arts at Berkeley] was formerly named [Aerial and Pole Club at Berkeley],aaab,Active,,aaab,https://callink.berkeley.edu/organization/aaab,"ASUC Sponsored 2025-26-Student Activity Groups, Recreational Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","Our mission is to bring circus to Berkeley and provide a safe, inclusive community for students to learn and practice aerial arts while fostering a culture of acceptance, belonging, and empowerment. We train aerial silks, hoop, trapeze, and more!"
Aerospace SAE 💙,"We spend each year designing, manufacturing, testing, and flying aircraft in preparation for the SAE International Aero Design West competition each Spring. We teach our team the necessary analysis, design, and manufacturing skills necessary for not only the construction of an aircraft, but for the foundations of a career in the broader field of engineering.",ASAE,Active,,asae,https://callink.berkeley.edu/organization/asae,"Engineering/Computer Science Student Organizations, Undergraduate Organizations, Blue Heart Initiative Category","We are a student competition team that designs and manufactures fully functional, remote-controlled aircraft to compete in the SAE International Aero Design Competition."
Afghan Student Association,"Our mission is to preserve, promote, and embrace the cultural heritage of Afghanistan through social events, education, mentorship, advocacy, and fundraising. We are partnered with other Afghan student organizations across the state in a collaborative effort to bring awareness to the rich culture and tradition that Afghanistan has to offer. We invite those of all cultural backgrounds to learn about Afghan culture/history and contribute to our advocacy efforts.",ASA at Berkeley,Active,,afghans,https://callink.berkeley.edu/organization/afghans,"ASUC Sponsored 2025-26-Student Activity Groups, Cultural & Identity/International Student Organizations, Undergraduate Organizations","Our mission is to preserve, promote, and embrace the cultural heritage of Afghanistan through social events, education, mentorship, advocacy, and fundraising."
African American Male Education Network and Development,,A2MEND,Active,,a2mend,https://callink.berkeley.edu/organization/a2mend,"Cultural & Identity/International Student Organizations, Undergraduate Organizations",A2MEND empowers Black men in higher education through mentorship and advocacy. It bridges community colleges and universities while nurturing leaders who promote Black excellence.
African American Student Leadership Team,The purpose of the African American Student Leadership Team is to unite the black student leaders on campus. It is a space for official and unofficial leaders of different organizations/offices can come together and collaborate. These collaborative relationships will help streamline events and resources for black students. This will be an official organization to help unite different black groups and sync communication.,AASLT,Active,,africanamericanstudentleadershipteam,https://callink.berkeley.edu/organization/africanamericanstudentleadershipteam,"Undergraduate Organizations, Cultural & Identity/Cultural & Ethnic Student Organizations, Black/African American Student Community",...
